time,H1_1_2
0.3831380695111,0.2685744024E-09
0.7854330424977,0.1384876460E-09
1.207842764134,0.1032490452E-09
1.651372971851,0.8460351572E-10
2.117079689955,0.7258550031E-10
2.606071743964,0.6403444314E-10
3.119513400673,0.5756138579E-10
3.658627140218,0.5244617633E-10
4.224696566740,0.4827377497E-10
4.819069464588,0.4478634003E-10
5.443161007328,0.4181438897E-10
6.098457127206,0.3924150040E-10
6.786518053077,0.3698481405E-10
7.508982025242,0.3498360598E-10
8.267569196015,0.3319226790E-10
9.064085725327,0.3157581865E-10
9.900428081105,0.3010693733E-10
10.77858755467,0.2876394524E-10
11.70065500192,0.2752939885E-10
12.66882582152,0.2638908712E-10
13.68540518211,0.2533130327E-10
14.75281351073,0.2434630655E-10
15.87359225577,0.2342591840E-10
17.05040993807,0.2256321514E-10
18.28606850449,0.2175229119E-10
19.58350999922,0.2098807446E-10
20.94582356870,0.2026618097E-10
22.37625281664,0.1958279915E-10
23.87820352698,0.1893459702E-10
25.45525177285,0.1831864707E-10
27.11115243100,0.1773236500E-10
28.84984812206,0.1717345937E-10
30.67547859767,0.1663989002E-10
32.59239059707,0.1612983341E-10
34.60514819643,0.1564165367E-10
36.71854367577,0.1517387822E-10
38.93760892907,0.1472517709E-10
41.26762744503,0.1429434545E-10
43.71414688679,0.1388028858E-10
46.28299230064,0.1348200902E-10
48.98027998519,0.1309859548E-10
51.81243205396,0.1272921327E-10
54.78619172617,0.1237309586E-10
57.90863938198,0.1202953756E-10
61.18720942059,0.1169788703E-10
64.62970796114,0.1137754136E-10
68.24433142870,0.1106794083E-10
72.03968606965,0.1076856392E-10
76.02480844264,0.1047892269E-10
80.20918693429,0.1019855823E-10
84.60278435051,0.9927036208E-11
89.21606163755,0.9663942415E-11
94.06000278894,0.9408878269E-11
99.14614099789,0.9161456272E-11
104.4865861173,0.8921295479E-11
110.0940534927,0.8688017078E-11
115.9818942368,0.8461240198E-11
122.1641270182,0.8240578124E-11
128.6554714386,0.8025635118E-11
135.4713830800,0.7816004034E-11
142.6280903035,0.7611264937E-11
150.1426328882,0.7410984874E-11
158.0329026022,0.7214718935E-11
166.3176858018,0.7022012640E-11
175.0167081614,0.6832405654E-11
184.1506816390,0.6645436729E-11
193.7413537904,0.6460649728E-11
203.8115595494,0.6277600471E-11
214.3852755964,0.6095864160E-11
225.4876774458,0.5915043043E-11
237.1451993876,0.5734773999E-11
249.3855974265,0.5554735720E-11
262.2380153673,0.5374655203E-11
275.7330542052,0.5194313284E-11
289.9028449849,0.5013549033E-11
304.7811253037,0.4832262859E-11
320.4033196384,0.4650418277E-11
336.8066236898,0.4468042303E-11
354.0300929438,0.4285224560E-11
372.1147356605,0.4102115170E-11
391.1036105131,0.3918921574E-11
411.0419291082,0.3735904443E-11
431.9771636331,0.3553372818E-11
453.9591598843,0.3371678668E-11
477.0402559480,0.3191210984E-11
501.2754068149,0.3012389552E-11
526.7223152252,0.2835658499E-11
553.4415690560,0.2661479689E-11
581.4967855783,0.2490326043E-11
610.9547629267,0.2322674807E-11
641.8856391426,0.2159000828E-11
674.3630591692,0.1999769853E-11
708.4643501972,0.1845431910E-11
744.2707057765,0.1696414803E-11
781.8673791349,0.1553117809E-11
821.3438861611,0.1415905628E-11
862.7942185387,0.1285102714E-11
906.3170675351,0.1160988069E-11
952.0160589814,0.1043790635E-11
1000.000000000,0.9336854035E-12
