time,H1_1_2
0.3831380695111,0.8311867449E-12
0.7854330424977,0.4987713423E-12
1.207842764134,0.4945054621E-12
1.651372971851,0.4890227911E-12
2.117079689955,0.4826791662E-12
2.606071743964,0.4756486541E-12
3.119513400673,0.4680328107E-12
3.658627140218,0.4598983206E-12
4.224696566740,0.4512931899E-12
4.819069464588,0.4422552268E-12
5.443161007328,0.4328143607E-12
6.098457127206,0.4229985012E-12
6.786518053077,0.4128329226E-12
7.508982025242,0.4023420331E-12
8.267569196015,0.3915500474E-12
9.064085725327,0.3804815331E-12
9.900428081105,0.3691617839E-12
10.77858755467,0.3576170806E-12
11.70065500192,0.3459264288E-12
12.66882582152,0.3342833566E-12
13.68540518211,0.3227108926E-12
14.75281351073,0.3113324450E-12
15.87359225577,0.3002578129E-12
17.05040993807,0.2895036327E-12
18.28606850449,0.2790842965E-12
19.58350999922,0.2690111968E-12
20.94582356870,0.2592925982E-12
22.37625281664,0.2499334846E-12
23.87820352698,0.2409354684E-12
25.45525177285,0.2322967667E-12
27.11115243100,0.2240122303E-12
28.84984812206,0.2160735310E-12
30.67547859767,0.2084692428E-12
32.59239059707,0.2011851589E-12
34.60514819643,0.1942046699E-12
36.71854367577,0.1875090273E-12
38.93760892907,0.1810799803E-12
41.26762744503,0.1749122338E-12
43.71414688679,0.1689978870E-12
46.28299230064,0.1633268499E-12
48.98027998519,0.1578944583E-12
51.81243205396,0.1527017871E-12
54.78619172617,0.1477467670E-12
57.90863938198,0.1430245910E-12
61.18720942059,0.1385277889E-12
64.62970796114,0.1342464178E-12
68.24433142870,0.1301683488E-12
72.03968606965,0.1262795803E-12
76.02480844264,0.1225646212E-12
80.20918693429,0.1190068762E-12
84.60278435051,0.1155922921E-12
89.21606163755,0.1123089889E-12
94.06000278894,0.1091465592E-12
99.14614099789,0.1060953269E-12
104.4865861173,0.1031492729E-12
110.0940534927,0.1003045369E-12
115.9818942368,0.9755827429E-13
122.1641270182,0.9490758397E-13
128.6554714386,0.9234852879E-13
135.4713830800,0.8987709839E-13
142.6280903035,0.8748760378E-13
150.1426328882,0.8517521895E-13
158.0329026022,0.8293543119E-13
166.3176858018,0.8076445967E-13
175.0167081614,0.7865843028E-13
184.1506816390,0.7661451018E-13
193.7413537904,0.7463072362E-13
203.8115595494,0.7270502321E-13
214.3852755964,0.7083563985E-13
225.4876774458,0.6902047830E-13
237.1451993876,0.6725767944E-13
249.3855974265,0.6554545743E-13
262.2380153673,0.6388157986E-13
275.7330542052,0.6226395769E-13
289.9028449849,0.6069071087E-13
304.7811253037,0.5916042353E-13
320.4033196384,0.5767168069E-13
336.8066236898,0.5622360928E-13
354.0300929438,0.5481507857E-13
372.1147356605,0.5344470958E-13
391.1036105131,0.5211089278E-13
411.0419291082,0.5081234973E-13
431.9771636331,0.4954787701E-13
453.9591598843,0.4831678977E-13
477.0402559480,0.4711826073E-13
501.2754068149,0.4595124275E-13
526.7223152252,0.4481449986E-13
553.4415690560,0.4370709750E-13
581.4967855783,0.4262831634E-13
610.9547629267,0.4157746400E-13
641.8856391426,0.4055386938E-13
674.3630591692,0.3955601802E-13
708.4643501972,0.3858378027E-13
744.2707057765,0.3763631710E-13
781.8673791349,0.3671313347E-13
821.3438861611,0.3581298876E-13
862.7942185387,0.3493573223E-13
906.3170675351,0.3408077647E-13
952.0160589814,0.3324722842E-13
1000.000000000,0.3243445509E-13
