 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          29         23.87820353      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          29         23.87820353      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          30         25.45525177      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          30         25.45525177      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          30         25.45525177      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          31         27.11115243      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          31         27.11115243      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          31         27.11115243      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          32         28.84984812      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          32         28.84984812      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          32         28.84984812      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          33         30.67547860      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          33         30.67547860      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          33         30.67547860      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          34         32.59239060      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          34         32.59239060      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          34         32.59239060      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          35         34.60514820      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          35         34.60514820      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          35         34.60514820      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          36         36.71854368      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          36         36.71854368      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          36         36.71854368      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          37         38.93760893      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          37         38.93760893      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          37         38.93760893      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          38         41.26762745      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          38         41.26762745      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          38         41.26762745      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          39         43.71414689      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          39         43.71414689      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          39         43.71414689      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          40         46.28299230      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          40         46.28299230      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          40         46.28299230      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          41         48.98027999      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          41         48.98027999      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          41         48.98027999      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          42         51.81243205      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          42         51.81243205      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          42         51.81243205      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          43         54.78619173      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          43         54.78619173      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          43         54.78619173      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          44         57.90863938      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          44         57.90863938      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          44         57.90863938      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          45         61.18720942      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          45         61.18720942      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          45         61.18720942      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          46         64.62970796      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          46         64.62970796      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          46         64.62970796      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          47         68.24433143      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          47         68.24433143      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          47         68.24433143      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          48         72.03968607      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          48         72.03968607      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          48         72.03968607      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          49         76.02480844      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          49         76.02480844      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          49         76.02480844      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          50         80.20918693      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          50         80.20918693      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          50         80.20918693      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          51         84.60278435      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          51         84.60278435      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          51         84.60278435      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          52         89.21606164      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          52         89.21606164      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          52         89.21606164      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          53         94.06000279      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          53         94.06000279      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          53         94.06000279      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          54         99.14614100      1          1          1          0.50000000       -0.50000000      0.00000000          
 1          54         99.14614100      1          1          2          1.50000000       -0.50000000      0.00000000          
 1          54         99.14614100      1          1          3          2.50000000       -0.50000000      0.00000000          
 1          55         104.48658612     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          55         104.48658612     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          55         104.48658612     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          56         110.09405349     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          56         110.09405349     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          56         110.09405349     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          57         115.98189424     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          57         115.98189424     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          57         115.98189424     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          58         122.16412702     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          58         122.16412702     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          58         122.16412702     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          59         128.65547144     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          59         128.65547144     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          59         128.65547144     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          60         135.47138308     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          60         135.47138308     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          60         135.47138308     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          61         142.62809030     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          61         142.62809030     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          61         142.62809030     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          62         150.14263289     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          62         150.14263289     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          62         150.14263289     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          63         158.03290260     1          1          1          0.50000000       -0.50000000      0.00000000          
 1          63         158.03290260     1          1          2          1.50000000       -0.50000000      0.00000000          
 1          63         158.03290260     1          1          3          2.50000000       -0.50000000      0.00000000          
 1          64         166.31768580     1          1          1          0.50000000       -0.50000000      0.00000000          
