 IPER  ISTEP           DLEN           ILYR    IROW   ICOL            XCORD               YCORD                      FlowX                    FlowY                   FlowZ
 1          1          0.38313807       1          1          1          0.50000000       -0.50000000      -2.00513024e-02  0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          2          1.50000000       -0.50000000      2.00513024e-02   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          1          0.50000000       -0.50000000      -1.15552133e-02  0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          2          1.50000000       -0.50000000      1.15552133e-02   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          1          0.50000000       -0.50000000      -9.01007734e-03  0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          2          1.50000000       -0.50000000      9.01007734e-03   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          1          0.50000000       -0.50000000      -7.79365251e-03  0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          2          1.50000000       -0.50000000      7.79365251e-03   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          1          0.50000000       -0.50000000      -7.07199777e-03  0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          2          1.50000000       -0.50000000      7.07199777e-03   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          1          0.50000000       -0.50000000      -6.59704336e-03  0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          2          1.50000000       -0.50000000      6.59704336e-03   0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          1          0.50000000       -0.50000000      -6.26599820e-03  0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          2          1.50000000       -0.50000000      6.26599820e-03   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          1          0.50000000       -0.50000000      -6.02771179e-03  0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          2          1.50000000       -0.50000000      6.02771179e-03   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          1          0.50000000       -0.50000000      -5.85354908e-03  0.00000000e+00   0.00000000e+00  
