 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     STA                     FBC                     CST                     IBE                     IBV                     WST                     CNH                     ABER
 1          1          0.38313807       1          1          1          -0.00000000e+00  2.00513024e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.00513024e-02  0.00000000e+00  
 1          1          0.38313807       1          1          2          -0.00000000e+00  -4.01026048e-02  0.00000000e+00   1.23060265e-02   2.77965783e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          -0.00000000e+00  2.00513024e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.00513024e-02  0.00000000e+00  
 1          2          0.40229497       1          1          1          -0.00000000e+00  1.15552133e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.15552133e-02  0.00000000e+00  
 1          2          0.40229497       1          1          2          -0.00000000e+00  -2.31104265e-02  0.00000000e+00   6.33304136e-03   1.67773851e-02   0.00000000e+00   0.00000000e+00   -2.79148214e-18 
 1          2          0.40229497       1          1          3          -0.00000000e+00  1.15552133e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.15552133e-02  0.00000000e+00  
 1          3          0.42240972       1          1          1          -0.00000000e+00  9.01007734e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -9.01007734e-03  0.00000000e+00  
 1          3          0.42240972       1          1          2          -0.00000000e+00  -1.80201547e-02  0.00000000e+00   4.96313235e-03   1.30570223e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          3          -0.00000000e+00  9.01007734e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -9.01007734e-03  0.00000000e+00  
 1          4          0.44353021       1          1          1          -0.00000000e+00  7.79365251e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.79365251e-03  0.00000000e+00  
 1          4          0.44353021       1          1          2          -0.00000000e+00  -1.55873050e-02  0.00000000e+00   4.29787745e-03   1.12894276e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          3          -0.00000000e+00  7.79365251e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.79365251e-03  0.00000000e+00  
 1          5          0.46570672       1          1          1          -0.00000000e+00  7.07199777e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.07199777e-03  0.00000000e+00  
 1          5          0.46570672       1          1          2          -0.00000000e+00  -1.41439955e-02  0.00000000e+00   3.90950797e-03   1.02344876e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          3          -0.00000000e+00  7.07199777e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.07199777e-03  0.00000000e+00  
 1          6          0.48899205       1          1          1          -0.00000000e+00  6.59704336e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.59704336e-03  0.00000000e+00  
 1          6          0.48899205       1          1          2          -0.00000000e+00  -1.31940867e-02  0.00000000e+00   3.65353372e-03   9.54055300e-03   0.00000000e+00   0.00000000e+00   -1.69653199e-18 
 1          6          0.48899205       1          1          3          -0.00000000e+00  6.59704336e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.59704336e-03  0.00000000e+00  
 1          7          0.51344166       1          1          1          -0.00000000e+00  6.26599820e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.26599820e-03  0.00000000e+00  
 1          7          0.51344166       1          1          2          -0.00000000e+00  -1.25319964e-02  0.00000000e+00   3.47371783e-03   9.05827857e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          3          -0.00000000e+00  6.26599820e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.26599820e-03  0.00000000e+00  
 1          8          0.53911374       1          1          1          -0.00000000e+00  6.02771179e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.02771179e-03  0.00000000e+00  
 1          8          0.53911374       1          1          2          -0.00000000e+00  -1.20554236e-02  0.00000000e+00   3.34177229e-03   8.71365130e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          3          -0.00000000e+00  6.02771179e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.02771179e-03  0.00000000e+00  
 1          9          0.56606943       1          1          1          -0.00000000e+00  5.85354908e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.85354908e-03  0.00000000e+00  
