 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          72         249.3856         1          1          1          2          9.984939         1.1099473        490.01506        490.01506        2.7870591e-08   
 1          73         262.23802        1          1          1          2          9.9806925        1.1392686        490.01931        490.01931        2.7675418e-08   
 1          74         275.73305        1          1          1          2          9.9754239        1.1692621        490.02458        490.02458        2.7486026e-08   
 1          75         289.90284        1          1          1          2          9.9689376        1.1999464        490.03106        490.03106        2.7302983e-08   
 1          76         304.78113        1          1          1          2          9.9610132        1.23134          490.03899        490.03899        2.7125728e-08   
 1          77         320.40332        1          1          1          2          9.9514051        1.2634621        490.04859        490.04859        2.6954414e-08   
 1          78         336.80662        1          1          1          2          9.9398426        1.2963322        490.06016        490.06016        2.6789746e-08   
 1          79         354.03009        1          1          1          2          9.9260308        1.3299701        490.07397        490.07397        2.6630984e-08   
 1          80         372.11474        1          1          1          2          9.9096522        1.3643962        490.09035        490.09035        2.6477754e-08   
 1          81         391.10361        1          1          1          2          9.8903685        1.3996312        490.10963        490.10963        2.6331601e-08   
 1          82         411.04193        1          1          1          2          9.8678239        1.4356963        490.13218        490.13218        2.619342e-08    
 1          83         431.97716        1          1          1          2          9.8416484        1.4726132        490.15835        490.15835        2.6063779e-08   
 1          84         453.95916        1          1          1          2          9.811462         1.5104038        490.18854        490.18854        2.5942643e-08   
 1          85         477.04026        1          1          1          2          9.7768792        1.5490909        490.22312        490.22312        2.5832005e-08   
 1          86         501.27541        1          1          1          2          9.737514         1.5886973        490.26249        490.26249        2.5734499e-08   
 1          87         526.72232        1          1          1          2          9.6929853        1.6292466        490.30701        490.30701        2.5651844e-08   
 1          88         553.44157        1          1          1          2          9.6429223        1.6707625        490.35708        490.35708        2.5586052e-08   
 1          89         581.49679        1          1          1          2          9.5869694        1.7132693        490.41303        490.41303        2.5539442e-08   
 1          90         610.95476        1          1          1          2          9.5247921        1.7567916        490.47521        490.47521        2.551623e-08    
 1          91         641.88564        1          1          1          2          9.456081         1.801354         490.54392        490.54392        2.551951e-08    
 1          92         674.36306        1          1          1          2          9.380557         1.8469815        490.61944        490.61944        2.5552902e-08   
 1          93         708.46435        1          1          1          2          9.2979748        1.8936988        490.70203        490.70203        2.5619428e-08   
 1          94         744.27071        1          1          1          2          9.2081264        1.9415306        490.79187        490.79187        2.5723637e-08   
 1          95         781.86738        1          1          1          2          9.1108435        1.9905009        490.88916        490.88916        2.5868809e-08   
 1          96         821.34389        1          1          1          2          9.0059999        2.0406333        490.994          490.994          2.6057891e-08   
 1          97         862.79422        1          1          1          2          8.8935125        2.0919498        491.10649        491.10649        2.6293472e-08   
 1          98         906.31707        1          1          1          2          8.773342         2.1444714        491.22666        491.22666        2.6577733e-08   
 1          99         952.01606        1          1          1          2          8.6454927        2.1982166        491.35451        491.35451        2.6912911e-08   
 1          100        1000             1          1          1          2          8.5100124        2.2532019        491.48999        491.48999        2.7298554e-08   
